model,gpu,token_acc,token_p,token_r,token_f,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,k,augmenter,i,dep_uas,dep_las,wall_time
dacy_large,FALSE,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.9836671494930322,0.8547794117647058,0.8333333333333334,0.8439201451905626,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7981651376146789,0.90625,0.848780487804878,0.7709923664122137,0.8347107438016529,0.8015873015873016,0.8790322580645161,0.6770186335403726,0.7649122807017543,0.8813559322033898,0.8329519450800915,0.8564705882352942,0,No augmentation,0,NA,NA,34.66069746017456
dacy_large,FALSE,0.9981589291934119,0.9831131419489421,0.9874289134989525,0.9852663016426082,0.954727163701779,0.8185185185185185,0.7921146953405018,0.8051001821493625,0.8967391304347826,0.9166666666666666,0.9065934065934065,0.7454545454545455,0.8541666666666666,0.7961165048543689,0.7479674796747967,0.7603305785123967,0.7540983606557377,0.8373983739837398,0.639751552795031,0.7253521126760563,0.8393285371702638,0.8009153318077803,0.819672131147541,0,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9983591069563921,0.9834193804606831,0.9882270777212412,0.9858173675043543,0.9517530716212166,0.7971274685816876,0.7956989247311828,0.7964125560538116,0.8617021276595744,0.9,0.8804347826086957,0.7735849056603774,0.8541666666666666,0.811881188118812,0.7265625,0.768595041322314,0.746987951807229,0.7925925925925926,0.6645962732919255,0.7229729729729729,0.8181818181818182,0.8032036613272311,0.810623556581986,1,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9985127900059488,0.9802989802989803,0.9879277661378829,0.9840985887497516,0.9581316432955737,0.8435754189944135,0.8118279569892473,0.8273972602739725,0.9021739130434783,0.9222222222222223,0.9120879120879122,0.794392523364486,0.8854166666666666,0.8374384236453202,0.7967479674796748,0.8099173553719008,0.8032786885245901,0.8455284552845529,0.6459627329192547,0.7323943661971832,0.857487922705314,0.8123569794050344,0.8343125734430082,2,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9983568192003187,0.9860807317558162,0.9895240945824604,0.9877994123798616,0.9572777694498575,0.8263254113345521,0.8100358422939068,0.8180995475113122,0.9027027027027027,0.9277777777777778,0.9150684931506851,0.7657657657657657,0.8854166666666666,0.8212560386473429,0.734375,0.7768595041322314,0.755020080321285,0.8617886178861789,0.6583850931677019,0.7464788732394366,0.8544152744630071,0.8192219679633868,0.8364485981308412,3,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.998509983113142,0.9828407062090855,0.9886261598323856,0.9857249440437703,0.9543116792330354,0.8076923076923077,0.7903225806451613,0.7989130434782609,0.8864864864864865,0.9111111111111111,0.8986301369863013,0.7428571428571429,0.8125,0.7761194029850748,0.7286821705426356,0.7768595041322314,0.7519999999999999,0.8267716535433071,0.6521739130434783,0.7291666666666666,0.8321342925659473,0.7940503432494279,0.8126463700234191,4,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9981109564525751,0.9818398332837154,0.9871296019155942,0.9844776119402986,0.9536324572799041,0.8138686131386861,0.7992831541218638,0.806509945750452,0.8852459016393442,0.9,0.8925619834710743,0.7592592592592593,0.8541666666666666,0.8039215686274509,0.7480916030534351,0.8099173553719008,0.7777777777777777,0.8253968253968254,0.6459627329192547,0.7247386759581882,0.8345323741007195,0.7963386727688787,0.8149882903981265,5,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9979627329192546,0.9803629872061886,0.9862316671655194,0.9832885705759474,0.9535278832700379,0.7915904936014625,0.7759856630824373,0.7837104072398189,0.8633879781420765,0.8777777777777778,0.8705234159779613,0.7478260869565218,0.8958333333333334,0.8151658767772512,0.7196969696969697,0.7851239669421488,0.7509881422924901,0.8034188034188035,0.5838509316770186,0.6762589928057554,0.8144578313253013,0.7734553775743707,0.7934272300469483,6,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.998409226486379,0.9838197339686321,0.9888257008879577,0.9863163656267104,0.9558397442301928,0.8210332103321033,0.7974910394265233,0.8090909090909091,0.8770053475935828,0.9111111111111111,0.8937329700272479,0.7980769230769231,0.8645833333333334,0.8300000000000001,0.7580645161290323,0.7768595041322314,0.7673469387755103,0.8188976377952756,0.6459627329192547,0.7222222222222222,0.8397129186602871,0.8032036613272311,0.8210526315789475,7,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9984085935945892,0.9842105263157894,0.9888257008879577,0.9865127158711989,0.95769864655646,0.8037037037037037,0.7777777777777778,0.7905282331511839,0.875,0.8944444444444445,0.8846153846153847,0.7647058823529411,0.8125,0.787878787878788,0.7364341085271318,0.7851239669421488,0.76,0.8,0.6211180124223602,0.6993006993006993,0.8248175182481752,0.7757437070938215,0.7995283018867925,8,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9979621253541427,0.9805555555555555,0.9861318966377333,0.9833358205242998,0.9491830310298305,0.8205128205128205,0.8028673835125448,0.8115942028985508,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.7547169811320755,0.8333333333333334,0.7920792079207922,0.7401574803149606,0.7768595041322314,0.7580645161290321,0.8346456692913385,0.6583850931677019,0.7361111111111112,0.8448687350835322,0.8100686498855835,0.8271028037383177,9,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9984100168935705,0.9829348149618018,0.9884266187768134,0.985673067356482,0.9533559728326009,0.7978339350180506,0.7921146953405018,0.7949640287769784,0.8870967741935484,0.9166666666666666,0.9016393442622951,0.7358490566037735,0.8125,0.7722772277227722,0.6985294117647058,0.7851239669421488,0.7392996108949417,0.8253968253968254,0.6459627329192547,0.7247386759581882,0.8301435406698564,0.7940503432494279,0.8116959064327485,10,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9982089552238805,0.9838100913786253,0.9882270777212412,0.9860136379473396,0.953375643396132,0.8111111111111111,0.7849462365591398,0.7978142076502732,0.8804347826086957,0.9,0.8901098901098902,0.7596153846153846,0.8229166666666666,0.79,0.7230769230769231,0.7768595041322314,0.7490039840637449,0.8442622950819673,0.639751552795031,0.7279151943462897,0.8390243902439024,0.7871853546910755,0.8122786304604486,11,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.99821162444113265,0.9809580481999405,0.9868302903322359,0.9838854073410923,0.9515726410384424,0.8120437956204379,0.7974910394265233,0.8047016274864375,0.8797814207650273,0.8944444444444445,0.8870523415977961,0.7850467289719626,0.875,0.8275862068965517,0.7404580152671756,0.8016528925619835,0.7698412698412699,0.8110236220472441,0.639751552795031,0.7152777777777779,0.8345323741007195,0.7963386727688787,0.8149882903981265,12,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9988072756187258,0.9857043581852477,0.9906215703881074,0.988156847133758,0.9542777278626335,0.8280961182994455,0.8028673835125448,0.8152866242038217,0.9010989010989011,0.9111111111111111,0.9060773480662984,0.7663551401869159,0.8541666666666666,0.8078817733990148,0.7480314960629921,0.7851239669421488,0.7661290322580645,0.856,0.6645962732919255,0.7482517482517483,0.8526570048309179,0.8077803203661327,0.8296122209165687,13,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9982568853030529,0.9856816147956647,0.9890252419435299,0.9873505976095619,0.9537754235170656,0.8135283363802559,0.7974910394265233,0.8054298642533937,0.8901098901098901,0.9,0.8950276243093923,0.7663551401869159,0.8541666666666666,0.8078817733990148,0.7401574803149606,0.7768595041322314,0.7580645161290321,0.816793893129771,0.6645962732919255,0.732876712328767,0.8357142857142857,0.8032036613272311,0.8191365227537923,14,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9985572857071787,0.9858917039244908,0.9900229472213908,0.987953006770211,0.957203495630462,0.8258426966292135,0.7903225806451613,0.8076923076923078,0.8842105263157894,0.9333333333333333,0.9081081081081082,0.7757009345794392,0.8645833333333334,0.8177339901477833,0.7295081967213115,0.7355371900826446,0.7325102880658436,0.8782608695652174,0.6273291925465838,0.7318840579710145,0.8543689320388349,0.8054919908466819,0.8292108362779741,15,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9984104907609775,0.9820472128545923,0.9878279956100968,0.984929122108928,0.9549540551338395,0.8190127970749543,0.8028673835125448,0.8108597285067873,0.8835978835978836,0.9277777777777778,0.90514905149051506,0.7941176470588235,0.84375,0.8181818181818182,0.728,0.7520661157024794,0.7398373983739837,0.8320610687022901,0.6770186335403726,0.7465753424657534,0.8459715639810427,0.816933638443936,0.8311990686845169,16,Keystroke errors 2%,1,NA,NA,34.66069746017456
